anime_id,anime_title_romaji,anime_title_english,anime_title_native,anime_title_userPreferred,isAdult,type,seasonInt,genres,popularity,meanScore,averageScore,episodes,favourites
113671,Roto Spread,,Roto Spread,Roto Spread,False,ANIME,,[],127,49.0,45.0,1.0,0
113846,Frypan Jiisan,,ふらいぱんじいさん,Frypan Jiisan,False,ANIME,,['Adventure'],101,46.0,,1.0,1
113847,Juu-nin no Chiisa na Indian,Ten Little Indians,十人の小さなインディアン,Juu-nin no Chiisa na Indian,False,ANIME,,[],98,49.0,,1.0,0
113848,Shiroi Zou,White Elephant,白い像,Shiroi Zou,False,ANIME,,['Action'],75,47.0,,1.0,0
114615,Jiji to Baba,Another Time,ジージとバーバ,Jiji to Baba,False,ANIME,,"['Psychological', 'Slice of Life']",73,66.0,,1.0,2
114764,Googuri Googuri,,ぐーぐりぃ ぐーぐりぃ,Googuri Googuri,False,ANIME,,"['Fantasy', 'Music']",110,62.0,52.0,1.0,1
115438,"Shoujo no Ito, Mahou no Ito",Better back then,少女のいと魔法のいと,"Shoujo no Ito, Mahou no Ito",False,ANIME,,['Fantasy'],84,48.0,,1.0,1
116237,Monogatari-tachi e,4 Stories ,物語たちへ,Monogatari-tachi e,False,ANIME,,['Psychological'],94,61.0,,1.0,2
117564,Enen,"and, end",えんえん,Enen,False,ANIME,,['Psychological'],64,57.0,,1.0,1
141056,Ikuta no Kita,Dozens of Norths,幾多の北,Ikuta no Kita,False,ANIME,214.0,"['Adventure', 'Fantasy', 'Psychological']",321,68.0,,1.0,7
7169,Ibara-Hime mata wa Nemuri-Hime,Briar-Rose or the Sleeping Beauty,いばら姫またはねむり姫,Ibara-Hime mata wa Nemuri-Hime,False,ANIME,,"['Drama', 'Supernatural']",419,58.0,54.0,1.0,2
7477,Bushe zhi She,To Shoot Without Shooting,不射之射,Bushe zhi She,False,ANIME,,"['Adventure', 'Supernatural']",304,60.0,55.0,1.0,2
7510,Shisha no Sho,The Book of the Dead,死者の書,Shisha no Sho,False,ANIME,53.0,"['Drama', 'Supernatural']",395,57.0,52.0,1.0,2
7809,3tsu no Kumo,Trilogy about Clouds,３つの雲,3tsu no Kumo,False,ANIME,53.0,"['Fantasy', 'Psychological']",419,44.0,43.0,3.0,1
8451,Donguri to Yamaneko,,どんぐりと山猫,Donguri to Yamaneko,False,ANIME,884.0,['Drama'],282,50.0,47.0,1.0,0
8718,Itsumademo Tabibito,,いつまでも旅人,Itsumademo Tabibito,False,ANIME,0.0,['Drama'],149,46.0,44.0,1.0,0
19233,Around,,,Around,False,ANIME,,['Slice of Life'],413,54.0,51.0,1.0,0
19237,Nimrod,,ニムロッド,Nimrod,False,ANIME,,['Fantasy'],247,53.0,50.0,1.0,0
21411,Yodaka no Hoshi,,よだかの星,Yodaka no Hoshi,False,ANIME,,[],730,62.0,59.0,1.0,2
101904,Moving Colors,Moving Colors,,Moving Colors,False,ANIME,162.0,"['Music', 'Supernatural']",235,52.0,49.0,1.0,1
102359,Count Down,,カウントダウン,Count Down,False,ANIME,,[],259,35.0,36.0,1.0,0
